day,temp,rain,avg_rain,humidity,wind,day_of_week,month,year,working_day
2011-11-01,4.27738095238,7.31428571429,1244.5797619,76.4047619048,3.92976190476,1.0,11.0,2011.0,1.0
2011-11-02,3.42446808511,0.0,235.442553191,80.3085106383,3.67872340426,2.0,11.0,2011.0,1.0
2011-11-03,7.11263157895,0.0,0.0,73.1263157895,9.32105263158,3.0,11.0,2011.0,1.0
2011-11-04,6.946875,0.153125,1.42916666667,81.5,7.37604166667,4.0,11.0,2011.0,1.0
2011-11-05,0.958947368421,0.144210526316,1.23157894737,84.0421052632,2.77684210526,5.0,11.0,2011.0,0.0
2011-11-06,6.27619047619,0.0396825396825,1.19365079365,61.8095238095,17.0079365079,6.0,11.0,2011.0,0.0
2011-11-07,7.55,0.0,0.216666666667,69.9583333333,8.03854166667,0.0,11.0,2011.0,1.0
2011-11-08,9.56979166667,0.0,0.0,77.6458333333,11.76875,1.0,11.0,2011.0,1.0
2011-11-09,3.61979166667,0.0,0.0,87.5,2.89270833333,2.0,11.0,2011.0,1.0
2011-11-10,10.68125,0.0,0.0,72.3958333333,4.91666666667,3.0,11.0,2011.0,1.0
2011-11-11,14.4822916667,1.040625,7.53541666667,94.78125,15.4552083333,4.0,11.0,2011.0,1.0
2011-11-12,5.68645833333,0.890625,13.309375,75.34375,34.121875,5.0,11.0,2011.0,0.0
2011-11-13,7.74375,0.0,2.5,72.5208333333,12.5333333333,6.0,11.0,2011.0,0.0
2011-11-14,10.5447916667,0.0,0.0,87.4270833333,8.5375,0.0,11.0,2011.0,1.0
2011-11-15,11.4010526316,0.0221052631579,0.233684210526,95.6526315789,8.04736842105,1.0,11.0,2011.0,1.0
2011-11-16,9.259375,0.0,0.0833333333333,77.5729166667,8.90833333333,2.0,11.0,2011.0,1.0
2011-11-17,8.28617021277,0.38085106383,7.27446808511,91.4042553191,5.50957446809,3.0,11.0,2011.0,1.0
2011-11-18,1.846875,0.269791666667,5.84375,83.78125,11.6604166667,4.0,11.0,2011.0,1.0
2011-11-19,3.42409638554,0.0,0.925301204819,66.0240963855,20.4674698795,5.0,11.0,2011.0,0.0
2011-11-20,8.17230769231,0.0,0.0,83.0153846154,16.8076923077,6.0,11.0,2011.0,0.0
2011-11-21,1.6675,0.0,0.0,60.925,6.325,0.0,11.0,2011.0,1.0
2011-11-22,-1.98541666667,0.0,0.0,66.84375,6.32604166667,1.0,11.0,2011.0,1.0
2011-11-23,-3.63626373626,0.0,0.0,80.4615384615,3.42527472527,2.0,11.0,2011.0,1.0
2011-11-24,0.117857142857,0.05,1.3,85.8571428571,2.94285714286,3.0,11.0,2011.0,1.0
2011-11-25,1.396875,0.0,0.216666666667,85.125,10.4489583333,4.0,11.0,2011.0,1.0
2011-11-26,6.234375,0.0,0.0,85.5208333333,14.371875,5.0,11.0,2011.0,0.0
2011-11-27,0.523958333333,0.0,0.0,85.0416666667,3.61041666667,6.0,11.0,2011.0,0.0
2011-11-28,7.16354166667,0.034375,0.103125,86.8125,15.5322916667,0.0,11.0,2011.0,1.0
2011-11-29,4.90104166667,0.0,0.166666666667,79.1666666667,5.25104166667,1.0,11.0,2011.0,1.0
2011-11-30,11.1468085106,0.506382978723,0.873404255319,93.5212765957,8.67553191489,2.0,11.0,2011.0,1.0
2011-12-01,7.896875,0.341666666667,3.303125,90.4791666667,7.56354166667,3.0,12.0,2011.0,1.0
2011-12-02,1.54791666667,0.0,0.0,76.2708333333,3.08854166667,4.0,12.0,2011.0,1.0
2011-12-03,-0.358333333333,0.0,0.0,88.4895833333,3.21770833333,5.0,12.0,2011.0,0.0
2011-12-04,1.496875,0.0,0.0,81.4479166667,9.58958333333,6.0,12.0,2011.0,0.0
2011-12-05,4.99318181818,0.0,0.0,84.4772727273,15.2977272727,0.0,12.0,2011.0,1.0
2011-12-06,8.22976190476,0.0380952380952,0.0880952380952,97.5238095238,4.03214285714,1.0,12.0,2011.0,1.0
2011-12-07,4.85625,0.284375,3.2375,99.0,5.03958333333,2.0,12.0,2011.0,1.0
2011-12-08,8.73880597015,0.968656716418,6.67910447761,98.2089552239,10.0955223881,3.0,12.0,2011.0,1.0
2011-12-09,2.57848101266,0.0,0.0,63.0632911392,19.0075949367,4.0,12.0,2011.0,1.0
2011-12-10,4.31458333333,0.233333333333,0.95,82.125,10.2635416667,5.0,12.0,2011.0,0.0
2011-12-11,-0.892783505155,0.0134020618557,1.00618556701,29.5051546392,0.19587628866,6.0,12.0,2011.0,0.0
2011-12-12,-0.140816326531,0.0,0.0520408163265,15.5510204082,0.291836734694,0.0,12.0,2011.0,1.0
2011-12-13,-0.807777777778,0.0,0.0533333333333,90.6,1.27333333333,1.0,12.0,2011.0,1.0
2011-12-14,0.717721518987,0.0,0.0,76.0632911392,8.9164556962,2.0,12.0,2011.0,1.0
2011-12-15,-0.778205128205,0.174358974359,0.246153846154,74.5384615385,8.00128205128,3.0,12.0,2011.0,1.0
2011-12-16,6.92842105263,0.392631578947,2.76315789474,92.9578947368,17.3673684211,4.0,12.0,2011.0,1.0
2011-12-17,-1.97604166667,0.0,0.933333333333,68.8125,7.97291666667,5.0,12.0,2011.0,0.0
2011-12-18,-5.325,0.0,0.0,71.75,4.49375,6.0,12.0,2011.0,0.0
2011-12-19,-4.575,0.0,0.0,70.5208333333,4.28958333333,0.0,12.0,2011.0,1.0
2011-12-20,-1.66041666667,0.104166666667,1.72083333333,70.1458333333,12.7239583333,1.0,12.0,2011.0,1.0
2011-12-21,-3.88958333333,0.015625,0.398958333333,66.0833333333,15.5739583333,2.0,12.0,2011.0,1.0
2011-12-22,3.47604166667,0.43125,6.04375,97.0520833333,5.871875,3.0,12.0,2011.0,1.0
2011-12-23,-0.653125,0.0,1.31666666667,96.7604166667,1.02604166667,4.0,12.0,2011.0,1.0
2011-12-24,-5.04947368421,0.0,0.0,89.8736842105,0.0,5.0,12.0,2011.0,0.0
2011-12-25,-8.18777777778,0.0,0.0,78.7222222222,0.0,6.0,12.0,2011.0,0.0
2011-12-26,-4.52045454545,0.0,0.0,80.4090909091,0.0,0.0,12.0,2011.0,1.0
2011-12-27,1.86585365854,0.246341463415,1.5243902439,74.3414634146,9.66097560976,1.0,12.0,2011.0,1.0
2011-12-28,4.69347826087,0.101086956522,0.958695652174,93.4782608696,12.1619565217,2.0,12.0,2011.0,1.0
2011-12-29,-1.08736842105,1.16421052632,11.9936842105,75.0,36.8084210526,3.0,12.0,2011.0,1.0
2011-12-30,-6.92708333333,0.583333333333,10.4833333333,64.6458333333,27.0875,4.0,12.0,2011.0,1.0
2011-12-31,-2.69821428571,0.658928571429,4.20714285714,89.8571428571,8.32142857143,5.0,12.0,2011.0,0.0
2012-01-01,2.33645833333,0.402083333333,3.44166666667,99.0,7.35729166667,6.0,1.0,2012.0,0.0
2012-01-02,3.442,0.088,1.5,95.58,9.102,0.0,1.0,2012.0,1.0
2012-01-03,0.518279569892,0.0,0.344086021505,75.6666666667,9.91505376344,1.0,1.0,2012.0,1.0
2012-01-04,-7.38958333333,0.0,0.0,79.7708333333,9.90729166667,2.0,1.0,2012.0,1.0
2012-01-05,-4.90416666667,0.0,0.0,77.0208333333,15.2958333333,3.0,1.0,2012.0,1.0
2012-01-06,-7.51354166667,0.0,6.98541666667,72.71875,11.4239583333,4.0,1.0,2012.0,1.0
2012-01-07,-3.9847826087,0.0260869565217,0.123913043478,89.2065217391,4.96847826087,5.0,1.0,2012.0,0.0
2012-01-08,-0.842105263158,0.0,0.0842105263158,93.2105263158,10.8105263158,6.0,1.0,2012.0,0.0
2012-01-09,-5.0935483871,0.0,0.0,86.9139784946,5.10107526882,0.0,1.0,2012.0,1.0
2012-01-10,-5.42291666667,0.0125,0.096875,86.15625,6.79583333333,1.0,1.0,2012.0,1.0
2012-01-11,-4.92435897436,0.0,0.0615384615385,85.0769230769,12.7576923077,2.0,1.0,2012.0,1.0
2012-01-13,3.63333333333,0.0706666666667,0.946666666667,96.72,11.1413333333,4.0,1.0,2012.0,1.0
2012-01-14,1.17789473684,1.22,17.1368421053,74.2315789474,28.5863157895,5.0,1.0,2012.0,0.0
2012-01-15,-9.33854166667,0.0,4.65,71.3229166667,8.959375,6.0,1.0,2012.0,0.0
2012-01-16,-11.1695652174,0.0,0.0,70.7173913043,16.0565217391,0.0,1.0,2012.0,1.0
2012-01-17,-1.99375,0.0,0.0,75.2708333333,13.8739583333,1.0,1.0,2012.0,1.0
2012-01-18,2.18695652174,0.0369565217391,0.495652173913,85.6956521739,14.9565217391,2.0,1.0,2012.0,1.0
2012-01-19,-8.25483870968,0.0,0.150537634409,65.5161290323,14.9387096774,3.0,1.0,2012.0,1.0
2012-01-20,-5.7375,0.0,0.0,80.8645833333,7.41875,4.0,1.0,2012.0,1.0
2012-01-21,-6.31770833333,0.0,0.0,86.8958333333,19.1572916667,5.0,1.0,2012.0,0.0
2012-01-22,-10.953125,0.0,0.0,74.6979166667,7.64270833333,6.0,1.0,2012.0,0.0
2012-01-23,-7.559375,0.0,0.0,69.0520833333,4.32708333333,0.0,1.0,2012.0,1.0
2012-01-24,3.42340425532,0.440425531915,5.48085106383,94.414893617,8.35212765957,1.0,1.0,2012.0,1.0
2012-01-25,2.26774193548,0.0,1.78924731183,92.0107526882,7.88064516129,2.0,1.0,2012.0,1.0
2012-01-26,-4.93854166667,0.0,0.0,73.625,11.1416666667,3.0,1.0,2012.0,1.0
2012-01-27,-7.603125,0.0,0.0,84.3541666667,5.72083333333,4.0,1.0,2012.0,1.0
2012-01-28,-0.773684210526,0.28,3.66842105263,92.4947368421,20.6368421053,5.0,1.0,2012.0,0.0
2012-01-29,-1.17368421053,0.0378947368421,1.07368421053,80.1052631579,13.0273684211,6.0,1.0,2012.0,0.0
2012-01-30,-0.707291666667,0.0,0.166666666667,68.6458333333,11.7895833333,0.0,1.0,2012.0,1.0
2012-01-31,-9.82258064516,0.0,0.0,70.9032258065,12.7596774194,1.0,1.0,2012.0,1.0
2012-02-01,-4.68333333333,2.85,51.3,96.1666666667,18.1,2.0,2.0,2012.0,1.0
2012-02-02,-4.471875,0.0,8.55,90.03125,7.14895833333,3.0,2.0,2012.0,1.0
2012-02-03,-8.04526315789,0.0,0.0,81.2736842105,3.54,4.0,2.0,2012.0,1.0
2012-02-04,-11.0614583333,0.0,0.0,80.15625,4.33854166667,5.0,2.0,2012.0,0.0
2012-02-05,-11.7967741935,0.0,0.0,76.5268817204,8.99892473118,6.0,2.0,2012.0,0.0
2012-02-06,-5.72395833333,0.0,0.0,77.8541666667,15.1708333333,0.0,2.0,2012.0,1.0
2012-02-07,-0.754166666667,0.0,0.0,68.8958333333,11.6895833333,1.0,2.0,2012.0,1.0
2012-02-08,-8.22315789474,0.0,0.0,63.2105263158,9.26947368421,2.0,2.0,2012.0,1.0
2012-02-09,-3.61145833333,0.0,0.0,71.3020833333,3.96875,3.0,2.0,2012.0,1.0
2012-02-10,-4.3875,0.0,0.0,74.40625,2.984375,4.0,2.0,2012.0,1.0
2012-02-11,1.14787234043,0.258510638298,0.660638297872,88.7021276596,5.66595744681,5.0,2.0,2012.0,0.0
2012-02-12,0.183333333333,1.48333333333,10.1055555556,99.0,5.65555555556,6.0,2.0,2012.0,0.0
2012-02-13,-14.0821428571,0.0,0.0,67.9166666667,0.0,0.0,2.0,2012.0,1.0
2012-02-14,-10.6534883721,0.0,0.0,53.6627906977,0.0,1.0,2.0,2012.0,1.0
2012-02-15,1.55862068966,0.151724137931,1.21724137931,85.4482758621,1.03448275862,2.0,2.0,2012.0,1.0
2012-02-16,-0.803225806452,0.0,0.483870967742,90.6451612903,3.27096774194,3.0,2.0,2012.0,1.0
2012-02-17,-2.546875,0.0,0.0,83.375,5.059375,4.0,2.0,2012.0,1.0
2012-02-18,-1.26333333333,0.0,0.0,98.1666666667,1.60666666667,5.0,2.0,2012.0,0.0
2012-02-19,-3.215625,0.009375,0.121875,83.40625,12.11875,6.0,2.0,2012.0,0.0
2012-02-20,-6.97419354839,0.0,0.0483870967742,75.4193548387,9.97741935484,0.0,2.0,2012.0,1.0
2012-02-21,-7.64193548387,0.0,0.0,76.3548387097,8.11935483871,1.0,2.0,2012.0,1.0
2012-02-22,-5.178125,0.23125,1.34375,89.6875,4.215625,2.0,2.0,2012.0,1.0
2012-02-23,2.059375,0.25625,1.56875,93.375,6.965625,3.0,2.0,2012.0,1.0
2012-02-24,0.690625,0.175,2.184375,92.9375,15.05,4.0,2.0,2012.0,1.0
2012-02-25,-1.79230769231,0.0,0.461538461538,95.6923076923,8.48461538462,5.0,2.0,2012.0,0.0
2012-02-29,-11.3,0.0,0.0,74.0,0.0,2.0,2.0,2012.0,1.0
2012-03-01,-11.271875,0.01875,0.11875,75.09375,9.71875,3.0,3.0,2012.0,1.0
2012-03-02,-6.125,0.0,0.09375,70.65625,10.215625,4.0,3.0,2012.0,1.0
2012-03-03,-2.903125,0.128125,0.234375,81.21875,7.375,5.0,3.0,2012.0,0.0
2012-03-04,2.409375,0.05625,0.7125,86.0625,12.15,6.0,3.0,2012.0,0.0
2012-03-05,-0.473333333333,0.0,0.0,89.4,0.986666666667,0.0,3.0,2012.0,1.0
2012-03-09,1.12857142857,0.364285714286,9.10714285714,82.0,12.1928571429,4.0,3.0,2012.0,1.0
2012-03-10,-1.7935483871,0.0,1.21290322581,64.5161290323,3.74838709677,5.0,3.0,2012.0,0.0
2012-03-11,-4.365625,0.0,0.0,73.59375,6.215625,6.0,3.0,2012.0,0.0
2012-03-12,1.9875,0.009375,0.140625,79.4375,6.25625,0.0,3.0,2012.0,1.0
2012-03-13,-1.859375,0.0,0.0375,70.6875,8.334375,1.0,3.0,2012.0,1.0
2012-03-14,-2.453125,0.0,0.0,92.03125,13.909375,2.0,3.0,2012.0,1.0
2012-03-15,-1.746875,0.0,0.0,91.46875,13.9125,3.0,3.0,2012.0,1.0
2012-03-16,0.309375,0.09375,0.796875,81.5,5.440625,4.0,3.0,2012.0,1.0
2012-03-17,1.803125,0.025,0.703125,81.09375,6.078125,5.0,3.0,2012.0,0.0
2012-03-18,3.384375,0.0,0.125,76.8125,9.75625,6.0,3.0,2012.0,0.0
2012-03-19,3.95,0.0,0.0,72.21875,7.978125,0.0,3.0,2012.0,1.0
2012-03-20,4.04137931034,0.0,0.0,74.4137931034,6.73793103448,1.0,3.0,2012.0,1.0
2012-03-21,9.665625,0.0,0.0,74.8125,6.18125,2.0,3.0,2012.0,1.0
2012-03-22,14.5857142857,0.0,0.0,67.9642857143,12.0178571429,3.0,3.0,2012.0,1.0
2012-03-23,10.0818181818,0.0,0.0,49.6363636364,8.35454545455,4.0,3.0,2012.0,1.0
2012-03-24,2.02,0.0,0.0,49.6,5.76,5.0,3.0,2012.0,0.0
2012-03-25,-0.983870967742,0.0,0.0,63.3870967742,4.76774193548,6.0,3.0,2012.0,0.0
2012-03-26,0.796875,0.209375,1.90625,91.65625,3.725,0.0,3.0,2012.0,1.0
2012-03-27,-3.81935483871,0.0,0.61935483871,88.7741935484,0.0,1.0,3.0,2012.0,1.0
2012-03-28,-3.14375,0.01875,0.084375,75.25,1.99375,2.0,3.0,2012.0,1.0
2012-03-29,-2.81333333333,0.0,0.04,75.2333333333,5.03,3.0,3.0,2012.0,1.0
2012-03-30,-0.493333333333,0.0,0.0,69.7666666667,5.73666666667,4.0,3.0,2012.0,1.0
2012-03-31,-1.77741935484,0.0,0.0,69.1612903226,4.02580645161,5.0,3.0,2012.0,0.0
