INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,Latitude,Longitude
Fatal/Injury Collision,5900 128TH ST ,1,2013,0,0
Fatal/Injury Collision,10100 KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,2500 161A ST ,1,2013,0,0
Fatal/Injury Collision,15800 104TH AVE ,1,2013,0,0
Fatal/Injury Collision,15000 87B AVE ,1,2013,0,0
Fatal/Injury Collision,12300 88TH AVE ,1,2013,0,0
Fatal/Injury Collision,4300 152ND ST ,1,2013,0,0
Fatal/Injury Collision,12200  90TH AVE,1,2013,0,0
Fatal/Injury Collision,18200  32ND AVE,1,2013,0,0
Fatal/Injury Collision,12100 64TH AVE ,1,2013,0,0
Fatal/Injury Collision,14400 114A AVE ,1,2013,0,0
Fatal/Injury Collision,2400 KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,15600 101A AVE ,1,2013,0,0
Fatal/Injury Collision,16100 FRASER HWY ,1,2013,0,0
Fatal/Injury Collision,19500 96TH AVE ,1,2013,0,0
Fatal/Injury Collision,7700 192ND ST ,1,2013,0,0
Fatal/Injury Collision,5500 176TH ST ,1,2013,0,0
Fatal/Injury Collision,9300 132ND ST ,1,2013,0,0
Fatal/Injury Collision,17400 60TH AVE ,1,2013,0,0
Fatal/Injury Collision,8100  134TH ST,1,2013,0,0
Fatal/Injury Collision,2900 CROYDON DR ,1,2013,0,0
Fatal/Injury Collision,12200 KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,12800 72ND AVE ,1,2013,0,0
Fatal/Injury Collision,1700 152ND ST ,1,2013,0,0
Fatal/Injury Collision,9600 151ST ST ,1,2013,0,0
Fatal/Injury Collision,7400 120TH ST ,1,2013,0,0
Fatal/Injury Collision,16100 48TH AVE ,1,2013,0,0
Fatal/Injury Collision,17900 56TH AVE ,1,2013,0,0
Fatal/Injury Collision,13300 KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,8400 141A ST ,1,2013,0,0
Fatal/Injury Collision,2500 137TH ST ,1,2013,0,0
Fatal/Injury Collision,8600 160TH ST ,1,2013,0,0
Fatal/Injury Collision,7800 164TH ST ,1,2013,0,0
Fatal/Injury Collision,6600 172ND ST ,1,2013,0,0
Fatal/Injury Collision,6600 172ND ST ,1,2013,0,0
Fatal/Injury Collision,6300 128TH ST ,1,2013,0,0
Fatal/Injury Collision,10300 KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,18400 60TH AVE ,1,2013,0,0
Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,15300 24TH AVE ,1,2013,0,0
Fatal/Injury Collision,15100 56TH AVE ,1,2013,0,0
Fatal/Injury Collision,14700 32ND AVE ,1,2013,0,0
Fatal/Injury Collision,13300 102ND AVE ,1,2013,0,0
Fatal/Injury Collision,15200  96TH AVE,1,2013,0,0
Fatal/Injury Collision,15200  96TH AVE,1,2013,0,0
Fatal/Injury Collision,13600 72ND AVE ,1,2013,0,0
Fatal/Injury Collision,13600 72ND AVE ,1,2013,0,0
Fatal/Injury Collision,7500 KING GEORGE BLVD,1,2013,0,0
