CRIME_TYPE,HUNDRED_BLOCK,ROAD_NAME,MONTH,YEAR,Latitude,Longitude
Fatal/Injury Collision,9700,134TH ST     ,1,2014,0,0
Fatal/Injury Collision,2400,140TH ST     ,1,2014,0,0
Fatal/Injury Collision,12500,82ND AVE     ,1,2014,0,0
Fatal/Injury Collision,3100,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,3000,184TH ST     ,1,2014,0,0
Fatal/Injury Collision,12300,104TH AVE     ,1,2014,0,0
Fatal/Injury Collision,13500,60TH AVE     ,1,2014,0,0
Fatal/Injury Collision,10000,137A ST     ,1,2014,0,0
Fatal/Injury Collision,19300,73RD AVE     ,1,2014,0,0
Fatal/Injury Collision,13500,108TH AVE     ,1,2014,0,0
Fatal/Injury Collision,13500,108TH AVE     ,1,2014,0,0
Fatal/Injury Collision,5900,188TH ST     ,1,2014,0,0
Fatal/Injury Collision,7800,152ND ST     ,1,2014,0,0
Fatal/Injury Collision,11800,PATTULLO BRDG     ,1,2014,0,0
Fatal/Injury Collision,7600,152ND ST     ,1,2014,0,0
Fatal/Injury Collision,19500,32ND AVE     ,1,2014,0,0
Fatal/Injury Collision,15100,PHEASANT DR     ,1,2014,0,0
Fatal/Injury Collision,13400,108TH AVE     ,1,2014,0,0
Fatal/Injury Collision,7800,170TH ST     ,1,2014,0,0
Fatal/Injury Collision,14800,60TH AVE     ,1,2014,0,0
Fatal/Injury Collision,5800,182ND ST     ,1,2014,0,0
Fatal/Injury Collision,4900,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,18800,96TH AVE     ,1,2014,0,0
Fatal/Injury Collision,2900,156TH ST     ,1,2014,0,0
Fatal/Injury Collision,15200,18TH AVE     ,1,2014,0,0
Fatal/Injury Collision,12200,KING GEORGE BLVD    ,1,2014,0,0
Fatal/Injury Collision,7000,128TH ST     ,1,2014,0,0
Fatal/Injury Collision,19500,LANGLEY BPS     ,1,2014,0,0
Fatal/Injury Collision,13300,97TH AVE     ,1,2014,0,0
Fatal/Injury Collision,8700,132ND ST     ,1,2014,0,0
Fatal/Injury Collision,14700,108TH AVE     ,1,2014,0,0
Fatal/Injury Collision,14600,104TH AVE     ,1,2014,0,0
Fatal/Injury Collision,1800,AMBLE GREENE DR    ,1,2014,0,0
Fatal/Injury Collision,19000,80TH AVE     ,1,2014,0,0
Fatal/Injury Collision,15000,88TH AVE     ,1,2014,0,0
Fatal/Injury Collision,10500,SCOTT RD     ,1,2014,0,0
